analysis,experiment,model,generator,inpainter,bag_version,n,mean_BAG_healthy,mean_BAG_synthetic,mean_delta_BAG,median_delta_BAG,mean_abs_delta_BAG,median_abs_delta_BAG,count_synth_bag_higher,count_baseline_bag_higher,count_equal_bag,age_correction_alpha,age_correction_beta,mean_BAG_tumor,mean_BAG_inpaint,mean_Delta_BAG_tumor,mean_Delta_BAG_inpaint,mean_abs_Delta_BAG_tumor,mean_abs_Delta_BAG_inpaint,mean_recovery,median_recovery,mean_percent_recovery,proportion_inpaint_closer,count_inpaint_closer
exp0_age_residualized_BAG,exp0,BNX,CM,,age_residualized,520,-0.014921419240108974,0.16123196731604492,0.17615338655615387,0.07983398999999991,1.5260770092492306,1.1227666099999998,270.0,250.0,0.0,0.5057478159223338,-0.023091080513915365,,,,,,,,,,,
exp1_age_residualized_BAG,exp1,BNX,CM,BID,age_residualized,520,-0.014921419240108974,,,,,,,,,0.5057478159223338,-0.023091080513915365,0.16123196731604492,-0.015603213979147658,0.17615338655615387,-0.0006817947390382747,1.5260770092492306,5.694919963387885,-4.168842954138654,-3.53109345,-17454.59738361786,0.15,78.0
exp1_age_residualized_BAG,exp1,BNX,CM,LIT,age_residualized,520,-0.014921419240108974,,,,,,,,,0.5057478159223338,-0.023091080513915365,0.16123196731604492,-0.944167976169532,0.17615338655615387,-0.929246556929423,1.5260770092492306,2.5035740369155772,-0.9774970276663462,-0.36014369999999984,-2094.0621600790755,0.4153846153846154,216.0
exp1_age_residualized_BAG,exp1,BNX,CM,USB,age_residualized,520,-0.014921419240108974,,,,,,,,,0.5057478159223338,-0.023091080513915365,0.16123196731604492,-5.459896160131071,0.17615338655615387,-5.444974740890961,1.5260770092492306,12.15601652999096,-10.62993952074173,-10.46793165,-21928.862090300026,0.051923076923076926,27.0
exp0_age_residualized_BAG,exp0,BNX,GLI,,age_residualized,521,8.18283380913743e-17,1.6722485480896356,1.6722485480896354,1.7006226,2.260387160521881,1.94304653,404.0,117.0,0.0,0.5057478159223338,-0.023091080513915365,,,,,,,,,,,
exp1_age_residualized_BAG,exp1,BNX,GLI,BID,age_residualized,521,8.18283380913743e-17,,,,,,,,,0.5057478159223338,-0.023091080513915365,1.6722485480896356,2.317079333972553,1.6722485480896354,2.317079333972553,2.260387160521881,4.923187009406718,-2.662799848884837,-1.786213,-2198.5727249785527,0.29942418426103645,156.0
exp1_age_residualized_BAG,exp1,BNX,GLI,LIT,age_residualized,521,8.18283380913743e-17,,,,,,,,,0.5057478159223338,-0.023091080513915365,1.6722485480896356,1.0432784779057083,1.6722485480896354,1.0432784779057083,2.260387160521881,1.9507215648396814,0.30966559568219965,0.25283054000000005,-680.655844420667,0.6084452975047985,317.0
exp1_age_residualized_BAG,exp1,BNX,GLI,USB,age_residualized,521,8.18283380913743e-17,,,,,,,,,0.5057478159223338,-0.023091080513915365,1.6722485480896356,-7.296088784300001,1.6722485480896354,-7.296088784300001,2.260387160521881,12.617476976530327,-10.357089816008445,-9.4180486,-7699.199717032068,0.09213051823416507,48.0
exp0_age_residualized_BAG,exp0,BNX,USB,,age_residualized,521,8.18283380913743e-17,-4.901872552136852,-4.901872552136852,-6.0807421999999995,12.166818709127256,11.692550500000001,197.0,324.0,0.0,0.5057478159223338,-0.023091080513915365,,,,,,,,,,,
exp0_age_residualized_BAG,exp0,JOOS,CM,,age_residualized,521,-1.3638056348562383e-17,2.2072500275404994,2.2072500275404994,0.9984817000000001,2.941454183363916,1.4152831640000003,379.0,142.0,0.0,3.9124255668097847,-0.153188139434402,,,,,,,,,,,
