set,model,generator,inpainter,path
healthy,BNX,,,\\vumc.nl\Onderzoek\s4e-gpfs2\rath-research-01\Research\neuroRT\students\KayraOzdemir\rerun\pred\healthy\IXI_BNX.csv
healthy,JOOS,,,\\vumc.nl\Onderzoek\s4e-gpfs2\rath-research-01\Research\neuroRT\students\KayraOzdemir\rerun\pred\healthy\IXI_JOOS.csv
exp0,BNX,CM,,\\vumc.nl\Onderzoek\s4e-gpfs2\rath-research-01\Research\neuroRT\students\KayraOzdemir\rerun\pred\exp0\BNX_IXI_CM.csv
exp0,BNX,GLI,,\\vumc.nl\Onderzoek\s4e-gpfs2\rath-research-01\Research\neuroRT\students\KayraOzdemir\rerun\pred\exp0\BNX_IXI_GLI.csv
exp0,BNX,USB,,\\vumc.nl\Onderzoek\s4e-gpfs2\rath-research-01\Research\neuroRT\students\KayraOzdemir\rerun\pred\exp0\BNX_IXI_USB.csv
exp0,JOOS,CM,,\\vumc.nl\Onderzoek\s4e-gpfs2\rath-research-01\Research\neuroRT\students\KayraOzdemir\rerun\pred\exp0\JOOS_IXI_CM.csv
exp0,JOOS,GLI,,\\vumc.nl\Onderzoek\s4e-gpfs2\rath-research-01\Research\neuroRT\students\KayraOzdemir\rerun\pred\exp0\JOOS_IXI_GLI.csv
exp0,JOOS,USB,,\\vumc.nl\Onderzoek\s4e-gpfs2\rath-research-01\Research\neuroRT\students\KayraOzdemir\rerun\pred\exp0\JOOS_IXI_USB.csv
exp1,BNX,CM,BID,\\vumc.nl\Onderzoek\s4e-gpfs2\rath-research-01\Research\neuroRT\students\KayraOzdemir\rerun\pred\exp1\BNX_CM_BID.csv
exp1,BNX,CM,LIT,\\vumc.nl\Onderzoek\s4e-gpfs2\rath-research-01\Research\neuroRT\students\KayraOzdemir\rerun\pred\exp1\BNX_CM_LIT.csv
exp1,BNX,CM,USB,\\vumc.nl\Onderzoek\s4e-gpfs2\rath-research-01\Research\neuroRT\students\KayraOzdemir\rerun\pred\exp1\BNX_CM_USB.csv
exp1,BNX,GLI,BID,\\vumc.nl\Onderzoek\s4e-gpfs2\rath-research-01\Research\neuroRT\students\KayraOzdemir\rerun\pred\exp1\BNX_GLI_BID.csv
exp1,BNX,GLI,LIT,\\vumc.nl\Onderzoek\s4e-gpfs2\rath-research-01\Research\neuroRT\students\KayraOzdemir\rerun\pred\exp1\BNX_GLI_LIT.csv
exp1,BNX,GLI,USB,\\vumc.nl\Onderzoek\s4e-gpfs2\rath-research-01\Research\neuroRT\students\KayraOzdemir\rerun\pred\exp1\BNX_GLI_USB.csv
exp1,JOOS,CM,BID,\\vumc.nl\Onderzoek\s4e-gpfs2\rath-research-01\Research\neuroRT\students\KayraOzdemir\rerun\pred\exp1\JOOS_CM_BID.csv
exp1,JOOS,CM,LIT,\\vumc.nl\Onderzoek\s4e-gpfs2\rath-research-01\Research\neuroRT\students\KayraOzdemir\rerun\pred\exp1\JOOS_CM_LIT.csv
exp1,JOOS,CM,USB,\\vumc.nl\Onderzoek\s4e-gpfs2\rath-research-01\Research\neuroRT\students\KayraOzdemir\rerun\pred\exp1\JOOS_CM_USB.csv
exp1,JOOS,GLI,BID,\\vumc.nl\Onderzoek\s4e-gpfs2\rath-research-01\Research\neuroRT\students\KayraOzdemir\rerun\pred\exp1\JOOS_GLI_BID.csv
exp1,JOOS,GLI,LIT,\\vumc.nl\Onderzoek\s4e-gpfs2\rath-research-01\Research\neuroRT\students\KayraOzdemir\rerun\pred\exp1\JOOS_GLI_LIT.csv
exp1,JOOS,GLI,USB,\\vumc.nl\Onderzoek\s4e-gpfs2\rath-research-01\Research\neuroRT\students\KayraOzdemir\rerun\pred\exp1\JOOS_GLI_USB.csv
