bag_version,experiment,model,condition,generator,inpainter,n,Delta_BAG_mean,Delta_BAG,Abs_Delta_BAG_mean,Abs_Delta_BAG,Delta_Abs_BAG_mean,Delta_Abs_BAG,Recovery_mean,Recovery,Proportion_Closer,Wilcoxon_p_signed_delta,Permutation_p_signed_delta,Cohens_d_signed_delta,Age_covariate_p_signed_delta,Delta_BAG_tumor_mean,Delta_BAG_tumor,Abs_Delta_BAG_tumor_mean,Abs_Delta_BAG_tumor,Delta_BAG_inpaint_mean,Delta_BAG_inpaint,Abs_Delta_BAG_inpaint_mean,Abs_Delta_BAG_inpaint,Count_Closer,Wilcoxon_p_recovery,Permutation_p_recovery,Cohens_d_recovery,Age_covariate_p_recovery
raw,Exp0,BNX,BNX_CM,CM,,520,0.1761533865561539,+0.18,1.5260770092492306,1.53***,0.4630001531934615,+0.46***,,,,0.1260769267717556,0.0714928507149285,0.07879419894536013,0.06324392586282102,,,,,,,,,,,,,
raw,Exp1,BNX,BNX_CM_BID,CM,BID,520,,,,,,,-4.168842954138654,-4.17,0.150,,,,,0.1761533865561539,+0.18,1.5260770092492306,1.53***,-0.000681794739038384,-0.00,5.6949199633878855,5.69***,78.0,1.0,1.0,-0.9223086863487218,0.0
raw,Exp1,BNX,BNX_CM_LIT,CM,LIT,520,,,,,,,-0.9774970276663462,-0.98,0.415,,,,,0.1761533865561539,+0.18,1.5260770092492306,1.53***,-0.929246556929423,-0.93***,2.5035740369155772,2.50***,216.0,0.9999999998697277,1.0,-0.3256651186924427,2.324807013565078e-13
raw,Exp1,BNX,BNX_CM_USB,CM,USB,520,,,,,,,-10.62993952074173,-10.63,0.052,,,,,0.1761533865561539,+0.18,1.5260770092492306,1.53***,-5.444974740890961,-5.44***,12.15601652999096,12.16***,27.0,1.0,1.0,-1.4092681156632392,0.0
raw,Exp0,BNX,BNX_GLI,GLI,,521,1.6722485480896352,+1.67***,2.260387160521881,2.26***,0.19520124188119004,+0.20*,,,,7.821572902997081e-45,9.999000099990002e-05,0.7297884754452212,0.0,,,,,,,,,,,,,
raw,Exp1,BNX,BNX_GLI_BID,GLI,BID,521,,,,,,,-2.662799848884837,-2.66,0.299,,,,,1.6722485480896352,+1.67***,2.260387160521881,2.26***,2.317079333972553,+2.32***,4.923187009406718,4.92***,156.0,1.0,1.0,-0.5883611535454993,0.0
raw,Exp1,BNX,BNX_GLI_LIT,GLI,LIT,521,,,,,,,0.3096655956821996,+0.31***,0.608,,,,,1.6722485480896352,+1.67***,2.260387160521881,2.26***,1.0432784779057083,+1.04***,1.9507215648396816,1.95***,317.0,1.3026947725965843e-08,9.999000099990002e-05,0.221203670051984,6.287851157527058e-07
raw,Exp1,BNX,BNX_GLI_USB,GLI,USB,521,,,,,,,-10.357089816008447,-10.36,0.092,,,,,1.6722485480896352,+1.67***,2.260387160521881,2.26***,-7.296088784300001,-7.30***,12.617476976530325,12.62***,48.0,1.0,1.0,-1.2886758820657713,0.0
raw,Exp0,BNX,BNX_USB,USB,,521,-4.901872552136852,-4.90***,12.166818709127256,12.17***,9.20046203306737,+9.20***,,,,1.8620985162622505e-14,9.999000099990002e-05,-0.3682923823335228,0.0,,,,,,,,,,,,,
raw,Exp0,JOOS,JOOS_CM,CM,,521,2.2072500275404994,+2.21***,2.941454183363916,2.94***,0.38116493967255277,+0.38,,,,8.940525598686981e-32,9.999000099990002e-05,0.46534369267746056,0.0,,,,,,,,,,,,,
raw,Exp1,JOOS,JOOS_CM_BID,CM,BID,521,,,,,,,-4.447928542986564,-4.45,0.150,,,,,2.2072500275404994,+2.21***,2.941454183363916,2.94***,6.643045045160461,+6.64***,7.38938272635048,7.39***,78.0,1.0,1.0,-0.7808066924155418,0.0
raw,Exp1,JOOS,JOOS_CM_LIT,CM,LIT,521,,,,,,,-1.3646238110015358,-1.36,0.447,,,,,2.2072500275404994,+2.21***,2.941454183363916,2.94***,3.220018212686372,+3.22***,4.306077994365451,4.31***,233.0,0.9988809874972718,1.0,-0.23144535421403672,1.358578878285499e-07
raw,Exp1,JOOS,JOOS_CM_USB,CM,USB,521,,,,,,,-19.623344739737046,-19.62,0.048,,,,,2.2072500275404994,+2.21***,2.941454183363916,2.94***,21.936640387204605,+21.94***,22.56479892310096,22.56***,25.0,1.0,1.0,-1.4466857320275373,0.0
raw,Exp0,JOOS,JOOS_GLI,GLI,,521,0.7710668152890595,+0.77***,1.4571388134464491,1.46***,-0.04689321760383877,-0.05,,,,1.4891782261311029e-19,9.999000099990002e-05,0.4074074993718728,0.0,,,,,,,,,,,,,
raw,Exp1,JOOS,JOOS_GLI_BID,GLI,BID,521,,,,,,,-4.089019364998081,-4.09,0.134,,,,,0.7710668152890595,+0.77***,1.4571388134464491,1.46***,4.921203117062572,+4.92***,5.5461581784445295,5.55***,70.0,1.0,1.0,-1.0703472956854625,0.0
raw,Exp1,JOOS,JOOS_GLI_LIT,GLI,LIT,521,,,,,,,-0.41245504860671783,-0.41,0.445,,,,,0.7710668152890595,+0.77***,1.4571388134464491,1.46***,-1.2758996368197697,-1.28***,1.869593862053167,1.87***,232.0,0.9999890092241391,1.0,-0.2068098176908196,1.8711394995651887e-06
