healthy_index,healthy_path,healthy_stem,label_global_index,label_path,label_stem,case_dir,center,crop_bounds,used_label_crop_voxels,final_label_voxels
1,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI322-IOP-0891-T1_preprocessed.nii.gz,IXI322-IOP-0891-T1,2,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02146-100-seg.nii.gz,BraTS-GLI-02146-100,data\IXI_GLI\IXI322-IOP-0891-T1__BraTS-GLI-02146-100,"[116, 99, 103]","{""x_min"": 68, ""x_max"": 164, ""y_min"": 51, ""y_max"": 147, ""z_min"": 55, ""z_max"": 151}",15366,15366
2,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI611-HH-2650-T1_preprocessed.nii.gz,IXI611-HH-2650-T1,3,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02875-101-seg.nii.gz,BraTS-GLI-02875-101,data\IXI_GLI\IXI611-HH-2650-T1__BraTS-GLI-02875-101,"[75, 116, 88]","{""x_min"": 27, ""x_max"": 123, ""y_min"": 68, ""y_max"": 164, ""z_min"": 40, ""z_max"": 136}",32406,32406
3,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI461-Guys-0998-T1_preprocessed.nii.gz,IXI461-Guys-0998-T1,4,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02756-100-seg.nii.gz,BraTS-GLI-02756-100,data\IXI_GLI\IXI461-Guys-0998-T1__BraTS-GLI-02756-100,"[193, 92, 113]","{""x_min"": 145, ""x_max"": 241, ""y_min"": 44, ""y_max"": 140, ""z_min"": 65, ""z_max"": 161}",14118,14118
4,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI484-HH-2179-T1_preprocessed.nii.gz,IXI484-HH-2179-T1,5,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02907-100-seg.nii.gz,BraTS-GLI-02907-100,data\IXI_GLI\IXI484-HH-2179-T1__BraTS-GLI-02907-100,"[95, 159, 176]","{""x_min"": 47, ""x_max"": 143, ""y_min"": 111, ""y_max"": 207, ""z_min"": 128, ""z_max"": 224}",19410,19410
5,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI597-IOP-1161-T1_preprocessed.nii.gz,IXI597-IOP-1161-T1,8,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02980-100-seg.nii.gz,BraTS-GLI-02980-100,data\IXI_GLI\IXI597-IOP-1161-T1__BraTS-GLI-02980-100,"[175, 119, 112]","{""x_min"": 127, ""x_max"": 223, ""y_min"": 71, ""y_max"": 167, ""z_min"": 64, ""z_max"": 160}",21902,21902
6,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI417-Guys-0939-T1_preprocessed.nii.gz,IXI417-Guys-0939-T1,9,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02072-101-seg.nii.gz,BraTS-GLI-02072-101,data\IXI_GLI\IXI417-Guys-0939-T1__BraTS-GLI-02072-101,"[83, 134, 128]","{""x_min"": 35, ""x_max"": 131, ""y_min"": 86, ""y_max"": 182, ""z_min"": 80, ""z_max"": 176}",38546,38546
7,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI188-Guys-0798-T1_preprocessed.nii.gz,IXI188-Guys-0798-T1,10,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02120-100-seg.nii.gz,BraTS-GLI-02120-100,data\IXI_GLI\IXI188-Guys-0798-T1__BraTS-GLI-02120-100,"[154, 103, 147]","{""x_min"": 106, ""x_max"": 202, ""y_min"": 55, ""y_max"": 151, ""z_min"": 99, ""z_max"": 195}",69330,69330
8,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI238-IOP-0883-T1_preprocessed.nii.gz,IXI238-IOP-0883-T1,11,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02659-100-seg.nii.gz,BraTS-GLI-02659-100,data\IXI_GLI\IXI238-IOP-0883-T1__BraTS-GLI-02659-100,"[179, 153, 143]","{""x_min"": 131, ""x_max"": 227, ""y_min"": 105, ""y_max"": 201, ""z_min"": 95, ""z_max"": 191}",28988,28988
9,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI098-Guys-0745-T1_preprocessed.nii.gz,IXI098-Guys-0745-T1,13,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02999-100-seg.nii.gz,BraTS-GLI-02999-100,data\IXI_GLI\IXI098-Guys-0745-T1__BraTS-GLI-02999-100,"[102, 207, 113]","{""x_min"": 54, ""x_max"": 150, ""y_min"": 159, ""y_max"": 255, ""z_min"": 65, ""z_max"": 161}",19349,19349
10,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI315-IOP-0888-T1_preprocessed.nii.gz,IXI315-IOP-0888-T1,14,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02093-103-seg.nii.gz,BraTS-GLI-02093-103,data\IXI_GLI\IXI315-IOP-0888-T1__BraTS-GLI-02093-103,"[183, 151, 107]","{""x_min"": 135, ""x_max"": 231, ""y_min"": 103, ""y_max"": 199, ""z_min"": 59, ""z_max"": 155}",33471,33471
